"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"61","Sablons-sur-Huisne","Condeau|Condé-sur-Huisne|Coulonges-les-Sablons",,2256,"Condé-sur-Huisne","JORFTEXT000031665385"
"61","Sap-en-Auge","Orville|Le Sap",,,"Le Sap",
"61","Tourouvre-au-Perche","Autheuil|Bivilliers|Bresolettes|Bubertré|Champs|Lignerolles|La Poterie-au-Perche|Prépotin|Randonnai|Tourouvre",,,"Tourouvre",
"61","Val-au-Perche","Gémages|L'Hermitière|Mâle|La Rouge|Saint-Agnan-sur-Erre|Le Theil",,3901,"Theil-sur-Huisne","JORFTEXT000031665388"
"63","Aulhat-Flat","Aulhat-Saint-Privat|Flat",,911,"Flat",
"63","Chambaron-sur-Morge","Cellule|La Moutade",,1610,"La Moutade",
"63","Nonette-Orsonnette","Nonette|Orsonnette",,530,"Nonette",
"65","Gavarnie-Gèdre","Gavarnie|Gèdre",,,,
"67","Sommerau","Allenwiller|Birkenwald|Salenthal|Singrist",,,,
"67","Truchtersheim","Truchtersheim|Pfettisheim",,,"Truchtersheim",
"67","Val-de-Moder","Pfaffenhoffen|La Walck|Uberach",,,,
"68","Aspach-Michelbach","Aspach-le-Haut|Michelbach",,1876,"Aspach-le-Haut","JORFTEXT000031665370"
"68","Bernwiller","Ammertzwiller|Bernwiller",,1081,"Ammertzwiller","JORFTEXT000031665499"
"68","Brunstatt-Didenheim","Brunstatt|Didenheim",,,,
"68","Illtal","Grentzingen|Henflingen|Oberdorf",,,,
"68","Kaysersberg Vignoble","Kaysersberg|Kientzheim|Sigolsheim",,4764,"Kaysersberg","JORFTEXT000031665358"
"68","Le Haut-Soultzbach","Mortzwiller|Soppe-le-Haut",,925,"Mortzwiller","JORFTEXT000031665469"
"68","Masevaux-Niederbruck","Masevaux|Niederbruck",,,,
"68","Porte-du-Ried","Holtzwihr|Riedwihr",,,,
"68","Spechbach","Spechbach-le-Bas|Spechbach-le-Haut",,1389,"Spechbach-le-Haut","JORFTEXT000031665511"
"69","Cours","Cours-la-Ville|Thel|Pont-Trambouze",,,"Cours-la-Ville",
"70","La Romaine","Le Pont-de-Planches|Greucourt|Vezet",,,,
"71","Fragnes-la-Loyère","Fragnes|La Loyère",,,,
"72","Ballon-Saint-Mars","Ballon|Saint-Mars-sous-Ballon",,2190,"Ballon",
"72","Tuffé Val de la Chéronne","Saint-Hilaire-le-Lierru|Tuffé",,1797,"Tuffé","JORFTEXT000031665421"
"73","Aime-la-Plagne","Aime|Granier|Montgirod",,4512,"Aime","JORFTEXT000031665505"
"73","Entrelacs","Albens|Cessens|Épersy|Mognard|Saint-Germain-la-Chambotte|Saint-Girod",,5863,"Albens","JORFTEXT000031665391"
"73","La Plagne Tarentaise","Bellentre|La Côte-d'Aime|Mâcot-la-Plagne|Valezan",,3964,"Mâcot-la-Plagne","JORFTEXT000031665496"
"73","Les Belleville","Saint-Martin-de-Belleville|Villarlurin",,2998,"Saint-Martin-de-Belleville","JORFTEXT000031665493"
"74","Epagny Metz-Tessy","Épagny|Metz-Tessy",,,,
"74","Faverges-Seythenex","Faverges|Seythenex",,,,
"74","Talloires-Montmin","Montmin|Talloires",,,,
"74","Val-de-Chaise","Cons-Sainte-Colombe|Marlens",,,,
"76","Arelaune-en-Seine","La Mailleraye-sur-Seine|Saint-Nicolas-de-Bliquetuit",,,,
"76","Forges-les-Eaux","Forges-les-Eaux|Le Fossé",,,"Forges-les-Eaux",
"76","Petit-Caux","Assigny|Auquemesnil|Belleville-sur-Mer|Berneval-le-Grand|Biville-sur-Mer|Bracquemont|Brunville|Derchigny|Glicourt|Gouchaupré|Greny|Guilmecourt|Intraville|Penly|Saint-Martin-en-Campagne|Saint-Quentin-au-Bosc|Tocqueville-sur-Eu|Tourville-la-Chapelle",,,,
"76","Port-Jérôme-sur-Seine","Auberville-la-Campagne|Notre-Dame-de-Gravenchon|Touffreville-la-Cable|Triquerville",,,,
"76","Rives-en-Seine","Caudebec-en-Caux|Saint-Wandrille-Rançon|Villequier",,,,
"76","Saint-Martin-de-l'If","Mont-de-l'If|La Folletière|Fréville|Betteville",,,,
"77","Moret-Loing et Orvanne","Épisy|Montarlot|Orvanne",,,,
"79","Argentonnay","Argenton-les-Vallées|Le Breuil-sous-Argenton|La Chapelle-Gaudin|La Coudre|Moutiers-sous-Argenton|Ulcot",,,,
"79","Saint-Maurice-Etusson ","Saint-Maurice-la-Fougereuse|Étusson",,,,
"81","Bellegarde-Marsal","Bellegarde|Marsal",,,,
"81","Fontrieu","Castelnau-de-Brassac|Ferrières|Le Margnès",,,,
"85","Aubigny-les-Clouzeaux","Aubigny|Les Clouzeaux",,,,
"85","Bellevigny","Belleville-sur-Vie|Saligny",,,,
"85","Doix-les-Fontaines","Doix|Fontaines",,,,
"85","Essarts-en-Bocage","Les Essarts|Boulogne|L'Oie|Sainte-Florence",,,,
"85","Montréverd","Mormaison|Saint-Sulpice-le-Verdon|Saint-André-Treize-Voies",,,,
"85","Mouilleron-Saint-Germain","Mouilleron-en-Pareds|Saint-Germain-l'Aiguiller",,,,
"85","Sèvremont","Les Châtelliers-Châteaumur|La Flocellière|La Pommeraie-sur-Sèvre|Saint-Michel-Mont-Mercure",,,,
"86","Senillé-Saint-Sauveur","Senillé|Saint-Sauveur",,,,
"87","Val d'Issoire","Bussière-Boffy|Mézières-sur-Issoire",,,,
"88","Granges-Aumontzey","Granges-sur-Vologne|Aumontzey",,,,
"89","Charny-Orée-de-Puisaye","Chambeugle|Charny|Chêne-Arnoult|Chevillon|Dicy|Fontenouilles|Grandchamp|Malicorne|Marchais-Beton|Perreux|Prunoy|Saint-Denis-sur-Ouanne|Saint-Martin-sur-Ouanne|Villefranche|",,,,
"89","Le Val-d'Ocre","Saint-Aubin-Château-Neuf|Saint-Martin-sur-Ocre",,,,
"89","Les Vallées-de-la-Vanne","Chigy|Vareilles|Theil-sur-Vanne",,,,
"89","Sépeaux-Saint-Romain","Sépeaux|Saint-Romain-le-Preux",,,,
"89","Valravillon","Laduz|Guerchy|Neuilly|Villemer",,,,
"89","Vermenton","Vermenton|Sacy",,"Vermenton",,
